Time,CO2
1958-03-31,315.7
1958-04-30,317.45
1958-05-31,317.51
1958-06-30,317.24
1958-07-31,315.86
1958-08-31,314.93
1958-09-30,313.2
1958-10-31,312.43
1958-11-30,313.33
1958-12-31,314.67
1959-01-31,315.58
1959-02-28,316.48
1959-03-31,316.65
1959-04-30,317.72
1959-05-31,318.29
1959-06-30,318.15
1959-07-31,316.54
1959-08-31,314.8
1959-09-30,313.84
1959-10-31,313.33
1959-11-30,314.81
1959-12-31,315.58
1960-01-31,316.43
1960-02-29,316.98
1960-03-31,317.58
1960-04-30,319.03
1960-05-31,320.04
1960-06-30,319.59
1960-07-31,318.18
1960-08-31,315.9
1960-09-30,314.17
1960-10-31,313.83
1960-11-30,315.0
1960-12-31,316.19
1961-01-31,316.89
1961-02-28,317.7
1961-03-31,318.54
1961-04-30,319.48
1961-05-31,320.58
1961-06-30,319.77
1961-07-31,318.57
1961-08-31,316.79
1961-09-30,314.99
1961-10-31,315.31
1961-11-30,316.1
1961-12-31,317.01
1962-01-31,317.94
1962-02-28,318.55
1962-03-31,319.68
1962-04-30,320.57
1962-05-31,321.02
1962-06-30,320.62
1962-07-31,319.61
1962-08-31,317.4
1962-09-30,316.25
1962-10-31,315.42
1962-11-30,316.69
1962-12-31,317.7
1963-01-31,318.74
1963-02-28,319.07
1963-03-31,319.86
1963-04-30,321.38
1963-05-31,322.25
1963-06-30,321.48
1963-07-31,319.74
1963-08-31,317.77
1963-09-30,316.21
1963-10-31,315.99
1963-11-30,317.07
1963-12-31,318.35
1964-01-31,319.57
1964-02-29,320.01
1964-03-31,320.74
1964-04-30,321.84
1964-05-31,322.26
1964-06-30,321.89
1964-07-31,320.44
1964-08-31,318.69
1964-09-30,316.7
1964-10-31,316.87
1964-11-30,317.68
1964-12-31,318.71
1965-01-31,319.44
1965-02-28,320.44
1965-03-31,320.89
1965-04-30,322.14
1965-05-31,322.17
1965-06-30,321.87
1965-07-31,321.21
1965-08-31,318.87
1965-09-30,317.81
1965-10-31,317.3
1965-11-30,318.87
1965-12-31,319.42
1966-01-31,320.62
1966-02-28,321.6
1966-03-31,322.39
1966-04-30,323.7
1966-05-31,324.08
1966-06-30,323.75
1966-07-31,322.38
1966-08-31,320.36
1966-09-30,318.64
1966-10-31,318.1
1966-11-30,319.78
1966-12-31,321.03
1967-01-31,322.33
1967-02-28,322.5
1967-03-31,323.04
1967-04-30,324.42
1967-05-31,325.0
1967-06-30,324.09
1967-07-31,322.54
1967-08-31,320.92
1967-09-30,319.25
1967-10-31,319.39
1967-11-30,320.73
1967-12-31,321.96
1968-01-31,322.57
1968-02-29,323.15
1968-03-31,323.89
1968-04-30,325.02
1968-05-31,325.57
1968-06-30,325.36
1968-07-31,324.14
1968-08-31,322.11
1968-09-30,320.33
1968-10-31,320.25
1968-11-30,321.32
1968-12-31,322.89
1969-01-31,324.0
1969-02-28,324.42
1969-03-31,325.63
1969-04-30,326.66
1969-05-31,327.38
1969-06-30,326.71
1969-07-31,325.88
1969-08-31,323.66
1969-09-30,322.38
1969-10-31,321.78
1969-11-30,322.86
1969-12-31,324.12
1970-01-31,325.06
1970-02-28,325.98
1970-03-31,326.93
1970-04-30,328.13
1970-05-31,328.08
1970-06-30,327.67
1970-07-31,326.34
1970-08-31,324.69
1970-09-30,323.1
1970-10-31,323.06
1970-11-30,324.01
1970-12-31,325.13
1971-01-31,326.17
1971-02-28,326.68
1971-03-31,327.17
1971-04-30,327.79
1971-05-31,328.93
1971-06-30,328.57
1971-07-31,327.36
1971-08-31,325.43
1971-09-30,323.36
1971-10-31,323.56
1971-11-30,324.8
1971-12-31,326.01
1972-01-31,326.77
1972-02-29,327.63
1972-03-31,327.75
1972-04-30,329.72
1972-05-31,330.07
1972-06-30,329.09
1972-07-31,328.04
1972-08-31,326.32
1972-09-30,324.84
1972-10-31,325.2
1972-11-30,326.5
1972-12-31,327.55
1973-01-31,328.55
1973-02-28,329.56
1973-03-31,330.3
1973-04-30,331.5
1973-05-31,332.48
1973-06-30,332.07
1973-07-31,330.87
1973-08-31,329.31
1973-09-30,327.51
1973-10-31,327.18
1973-11-30,328.16
1973-12-31,328.64
1974-01-31,329.35
1974-02-28,330.71
1974-03-31,331.48
1974-04-30,332.65
1974-05-31,333.19
1974-06-30,332.2
1974-07-31,331.07
1974-08-31,329.15
1974-09-30,327.33
1974-10-31,327.28
1974-11-30,328.31
1974-12-31,329.58
1975-01-31,330.73
1975-02-28,331.46
1975-03-31,331.94
1975-04-30,333.11
1975-05-31,333.95
1975-06-30,333.42
1975-07-31,331.97
1975-08-31,329.95
1975-09-30,328.5
1975-10-31,328.36
1975-11-30,329.38
1975-12-31,330.62
1976-01-31,331.56
1976-02-29,332.74
1976-03-31,333.36
1976-04-30,334.74
1976-05-31,334.72
1976-06-30,333.98
1976-07-31,333.08
1976-08-31,330.68
1976-09-30,328.96
1976-10-31,328.72
1976-11-30,330.16
1976-12-31,331.62
1977-01-31,332.68
1977-02-28,333.17
1977-03-31,334.96
1977-04-30,336.14
1977-05-31,336.93
1977-06-30,336.17
1977-07-31,334.88
1977-08-31,332.56
1977-09-30,331.29
1977-10-31,331.28
1977-11-30,332.46
1977-12-31,333.6
1978-01-31,334.94
1978-02-28,335.26
1978-03-31,336.66
1978-04-30,337.69
1978-05-31,338.02
1978-06-30,338.01
1978-07-31,336.5
1978-08-31,334.42
1978-09-30,332.36
1978-10-31,332.45
1978-11-30,333.76
1978-12-31,334.91
1979-01-31,336.14
1979-02-28,336.69
1979-03-31,338.27
1979-04-30,338.82
1979-05-31,339.24
1979-06-30,339.26
1979-07-31,337.54
1979-08-31,335.72
1979-09-30,333.98
1979-10-31,334.24
1979-11-30,335.32
1979-12-31,336.81
1980-01-31,337.9
1980-02-29,338.34
1980-03-31,340.07
1980-04-30,340.93
1980-05-31,341.45
1980-06-30,341.36
1980-07-31,339.45
1980-08-31,337.67
1980-09-30,336.25
1980-10-31,336.14
1980-11-30,337.3
1980-12-31,338.29
1981-01-31,339.29
1981-02-28,340.55
1981-03-31,341.63
1981-04-30,342.6
1981-05-31,343.04
1981-06-30,342.54
1981-07-31,340.82
1981-08-31,338.48
1981-09-30,336.95
1981-10-31,337.05
1981-11-30,338.58
1981-12-31,339.91
1982-01-31,340.93
1982-02-28,341.76
1982-03-31,342.78
1982-04-30,343.96
1982-05-31,344.77
1982-06-30,343.88
1982-07-31,342.42
1982-08-31,340.24
1982-09-30,338.38
1982-10-31,338.41
1982-11-30,339.44
1982-12-31,340.78
1983-01-31,341.57
1983-02-28,342.79
1983-03-31,343.37
1983-04-30,345.4
1983-05-31,346.14
1983-06-30,345.76
1983-07-31,344.32
1983-08-31,342.51
1983-09-30,340.46
1983-10-31,340.53
1983-11-30,341.79
1983-12-31,343.2
1984-01-31,344.21
1984-02-29,344.92
1984-03-31,345.68
1984-04-30,347.14
1984-05-31,347.78
1984-06-30,347.16
1984-07-31,345.79
1984-08-31,343.74
1984-09-30,341.59
1984-10-31,341.86
1984-11-30,343.31
1984-12-31,345.0
1985-01-31,345.48
1985-02-28,346.41
1985-03-31,347.91
1985-04-30,348.66
1985-05-31,349.28
1985-06-30,348.65
1985-07-31,346.91
1985-08-31,345.26
1985-09-30,343.47
1985-10-31,343.35
1985-11-30,344.73
1985-12-31,346.12
1986-01-31,346.78
1986-02-28,347.48
1986-03-31,348.25
1986-04-30,349.86
1986-05-31,350.52
1986-06-30,349.98
1986-07-31,348.25
1986-08-31,346.17
1986-09-30,345.48
1986-10-31,344.82
1986-11-30,346.22
1986-12-31,347.48
1987-01-31,348.73
1987-02-28,348.92
1987-03-31,349.81
1987-04-30,351.4
1987-05-31,352.15
1987-06-30,351.58
1987-07-31,350.21
1987-08-31,348.2
1987-09-30,346.66
1987-10-31,346.72
1987-11-30,348.08
1987-12-31,349.28
1988-01-31,350.51
1988-02-29,351.7
1988-03-31,352.5
1988-04-30,353.67
1988-05-31,354.35
1988-06-30,353.88
1988-07-31,352.8
1988-08-31,350.49
1988-09-30,348.97
1988-10-31,349.37
1988-11-30,350.42
1988-12-31,351.62
1989-01-31,353.07
1989-02-28,353.43
1989-03-31,354.08
1989-04-30,355.72
1989-05-31,355.95
1989-06-30,355.44
1989-07-31,354.05
1989-08-31,351.84
1989-09-30,350.09
1989-10-31,350.33
1989-11-30,351.55
1989-12-31,352.91
1990-01-31,353.86
1990-02-28,355.1
1990-03-31,355.75
1990-04-30,356.38
1990-05-31,357.38
1990-06-30,356.39
1990-07-31,354.89
1990-08-31,353.06
1990-09-30,351.38
1990-10-31,351.69
1990-11-30,353.14
1990-12-31,354.41
1991-01-31,354.93
1991-02-28,355.82
1991-03-31,357.33
1991-04-30,358.77
1991-05-31,359.23
1991-06-30,358.23
1991-07-31,356.3
1991-08-31,353.97
1991-09-30,352.34
1991-10-31,352.43
1991-11-30,353.89
1991-12-31,355.21
1992-01-31,356.34
1992-02-29,357.21
1992-03-31,357.97
1992-04-30,359.22
